name,neighborhood,type,year built,year demolished,lat,lon,cause,replacement,source ,Description/Comments,Contributor
Man's Country/Chicago,Uptown,Entertainment,1972,2019,41.973,-87.6678,Private Development,The Renslow,https://www.vice.com/en/article/mans-country-a-mans-club-for-men/,"""Chicago's longest-running gay bathhouse that hosted celebrity performances and served as a concert venue, dance club, community space, gym, and sex club.""",Amanda
Hyde Park House,Hyde Park,Hospitality,1857,1879,41.7994,-87.5828,Fire,Hampton House,https://en.wikipedia.org/wiki/Hyde_Park_House,"""Notable hotel that Mary Todd Lincoln and the Prince of Wales stayed at during their time in Chicago.""",Amanda
Maxwell Street Market,University Village,Commercial,1880,1994,41.86565,-87.64518,Urban Renewal,UIC,https://www.segregationbydesign.com/chicago/maxwell-street-market,"""A crucial cultural hub for immigrant and Black communities, and is considered the birthplace of Chicago Blues. It was at one point considered the world’s largest open-air market""",Amanda
Mahlon D. Ogden House,Gold Coast,Private Residence,1856,1893,41.899917,-87.630617,Private Development,Newberry Library,https://www.newberry.org/blog/the-house-that-survived-the-great-chicago-fire,"""This was known for being the only house in the path of the Great Fire of 1871 which was not burned.""",Amanda
Temperance Temple,The Loop,Civic Center,1890,1926,41.8803,-87.6328,Private Development,120 North LaSalle,"https://muse.jhu.edu/article/17252/summary#:~:text=In%201890%2C%20the%20Woman's%20Christian,energy%20and%20money%20to%20it.","""A significant intersection of female activism, philanthropy, and corporate ambition in late 19th-century America happened in this building.""",Amanda
The Relic House,Lincoln Park,Hospitality,1872,1929,41.9198573,-87.6367902,Private Development,2000 Lincoln Park Condo Association,https://drloihjournal.blogspot.com/2020/05/history-of-relic-house-in-chicago.html,"""This was a symbol of the city's resilience and served as a popular tourist attraction. It eventually transitioned into a saloon, German restaurant, and even a speakeasy during the Prohibition era. It was also a known gathering spot for artists.""",Amanda
Rainbo Arena,Uptown,Entertainment,1927,2003,41.9695,-87.6668,Private Development,Rainbo Village,https://drloihjournal.blogspot.com/2016/12/the-rainbo-buildings-history-4812-north.html,"""Multipurpose building with a long history of occupancies: outdoor gardens that was transformed into an indoor sports arena, having a training rink for several Olympic figure skaters that was also used as the Blackhawk's practice facility, and even housing a pro bowling alley. Afterwards, when it became the Kinetic Playground up until its demolition, the location was known as the driving force in the music business for hosting famous rock bands and musicians.""",Amanda
McCormick Reaper Works II,Pilson,Industrial,1873,1961,41.8442,-87.6689,Industrial Decline,"Various manufacturing, commercial, and industrial facilities",https://chicagology.com/rebuilding/rebuilding151/,"""At its peak, the complex produced the famous McCormick reaper, which revolutionized farming, along with other agricultural machinery and even military equipment.""",Amanda
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
https://www.hpherald.com/evening_digest/lost-hyde-park-hotels-resorts-and-entertainment-venues/article_bc993432-0cda-11ec-ba33-0fb38d651594.html,,,,,,,,,,,
https://www.wbez.org/curious-city/2021/10/07/the-buildings-that-survived-the-great-chicago-fire,,,,,,,,,,,
